Station,Date,TimeSST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
NSTU,1/1/2012,5:35 AM,-9999,-9999,N/A,29.78,10.0,North,3.5,-,N/A,,Clear,10,2012-01-01 16:35:00
NSTU,1/1/2012,5:55 AM,-9999,-9999,N/A,29.78,10.0,Calm,Calm,-,N/A,,Clear,0,2012-01-01 16:55:00
NSTU,1/1/2012,6:15 AM,-9999,-9999,N/A,29.79,10.0,Calm,Calm,-,N/A,,Clear,0,2012-01-01 17:15:00
NSTU,1/1/2012,6:35 AM,-9999,-9999,N/A,29.80,10.0,Calm,Calm,-,N/A,,Clear,0,2012-01-01 17:35:00
NSTU,1/1/2012,6:55 AM,-9999,-9999,N/A,29.80,10.0,NE,8.1,-,N/A,,Clear,50,2012-01-01 17:55:00
NSTU,1/1/2012,7:15 AM,-9999,-9999,N/A,29.80,10.0,ENE,9.2,-,N/A,,Clear,60,2012-01-01 18:15:00
NSTU,1/1/2012,7:35 AM,-9999,-9999,N/A,29.80,10.0,NE,4.6,-,N/A,,Clear,40,2012-01-01 18:35:00
NSTU,1/1/2012,7:55 AM,-9999,-9999,N/A,29.80,10.0,NE,10.4,-,N/A,,Clear,40,2012-01-01 18:55:00
NSTU,1/1/2012,8:15 AM,-9999,-9999,N/A,29.81,10.0,North,6.9,-,N/A,,Scattered Clouds,10,2012-01-01 19:15:00
NSTU,1/1/2012,8:30 AM,-9999,-9999,N/A,29.81,10.0,NE,5.8,-,N/A,,Scattered Clouds,50,2012-01-01 19:30:00
NSTU,1/1/2012,8:55 AM,-9999,-9999,N/A,29.81,4.0,North,6.9,-,N/A,,Scattered Clouds,350,2012-01-01 19:55:00
NSTU,1/1/2012,9:15 AM,82.4,75.2,79,29.82,1.5,NNW,9.2,-,N/A,Rain,Rain,340,2012-01-01 20:15:00
NSTU,1/1/2012,9:35 AM,-9999,-9999,N/A,29.82,1.0,North,9.2,-,N/A,Rain,Light Rain,360,2012-01-01 20:35:00
NSTU,1/1/2012,9:55 AM,82.4,75.0,78,29.82,10.0,North,9.2,17.3,N/A,Rain,Light Rain,10,2012-01-01 20:55:00
NSTU,1/1/2012,10:15 AM,-9999,-9999,N/A,29.81,10.0,NNW,9.2,16.1,N/A,Rain,Light Rain,340,2012-01-01 21:15:00
NSTU,1/1/2012,10:35 AM,82.4,75.2,79,29.81,10.0,North,9.2,16.1,N/A,Rain,Light Rain,10,2012-01-01 21:35:00
NSTU,1/1/2012,10:55 AM,-9999,-9999,N/A,29.80,8.0,NNW,4.6,-,N/A,Rain,Light Rain,340,2012-01-01 21:55:00
NSTU,1/1/2012,11:15 AM,-9999,-9999,N/A,29.79,10.0,North,6.9,-,N/A,,Overcast,10,2012-01-01 22:15:00
NSTU,1/1/2012,11:35 AM,84.2,75.2,74,29.79,10.0,NNE,12.7,18.4,N/A,,Mostly Cloudy,30,2012-01-01 22:35:00
NSTU,1/1/2012,11:55 AM,-9999,-9999,N/A,29.78,10.0,North,9.2,17.3,N/A,,Mostly Cloudy,10,2012-01-01 22:55:00
NSTU,1/1/2012,12:15 PM,84.2,75.2,74,29.78,10.0,North,12.7,20.7,N/A,,Mostly Cloudy,360,2012-01-01 23:15:00
NSTU,1/1/2012,12:35 PM,84.2,75.2,74,29.78,10.0,NNE,10.4,18.4,N/A,,Mostly Cloudy,20,2012-01-01 23:35:00
NSTU,1/1/2012,12:55 PM,86.4,76.3,72,29.78,5.0,NNE,11.5,16.1,N/A,,Overcast,30,2012-01-01 23:55:00
NSTU,1/1/2012,1:15 PM,82.4,75.2,79,29.77,9.0,North,10.4,16.1,N/A,Rain,Light Rain,350,2012-01-02 00:15:00
NSTU,1/1/2012,1:35 PM,82.4,75.2,79,29.77,10.0,NNE,11.5,21.9,N/A,Rain,Light Rain,20,2012-01-02 00:35:00
NSTU,1/1/2012,1:55 PM,-9999,-9999,N/A,29.76,2.5,North,9.2,-,N/A,Rain,Light Rain,10,2012-01-02 00:55:00
NSTU,1/1/2012,2:15 PM,82.4,75.2,79,29.75,10.0,North,11.5,20.7,N/A,Rain,Light Rain,360,2012-01-02 01:15:00
NSTU,1/1/2012,2:35 PM,-9999,-9999,N/A,29.74,10.0,North,11.5,19.6,N/A,Rain,Light Rain,350,2012-01-02 01:35:00
NSTU,1/1/2012,2:55 PM,84.2,75.2,74,29.75,10.0,North,13.8,24.2,N/A,Rain,Light Rain,360,2012-01-02 01:55:00
NSTU,1/1/2012,3:15 PM,84.2,75.2,74,29.74,10.0,North,15.0,24.2,N/A,Rain,Light Rain,10,2012-01-02 02:15:00
NSTU,1/1/2012,3:35 PM,84.2,75.2,74,29.74,10.0,NNW,8.1,18.4,N/A,Rain,Light Rain,340,2012-01-02 02:35:00
NSTU,1/1/2012,3:55 PM,84.2,75.2,74,29.74,8.0,North,11.5,19.6,N/A,Rain,Light Rain,350,2012-01-02 02:55:00
NSTU,1/1/2012,4:15 PM,84.2,75.2,74,29.74,10.0,NW,19.6,27.6,N/A,Rain,Light Rain,310,2012-01-02 03:15:00
NSTU,1/1/2012,4:35 PM,82.4,75.2,79,29.74,10.0,NW,8.1,19.6,N/A,Rain,Light Rain,310,2012-01-02 03:35:00
NSTU,1/1/2012,4:55 PM,82.4,75.2,79,29.75,2.5,North,8.1,18.4,N/A,Rain,Light Rain,360,2012-01-02 03:55:00
NSTU,1/1/2012,5:15 PM,80.6,75.2,84,29.76,9.0,North,12.7,20.7,N/A,Rain,Light Rain,350,2012-01-02 04:15:00
NSTU,1/1/2012,5:30 PM,80.6,75.2,84,29.76,10.0,NNW,11.5,20.7,N/A,Rain,Light Rain,330,2012-01-02 04:30:00
NSTU,1/1/2012,5:55 PM,80.6,75.2,84,29.77,10.0,NW,6.9,21.9,N/A,Rain,Light Rain,320,2012-01-02 04:55:00
NSTU,1/1/2012,6:15 PM,80.6,75.2,84,29.79,1.2,NW,9.2,18.4,N/A,Rain,Light Rain,320,2012-01-02 05:15:00
NSTU,1/1/2012,6:35 PM,78.8,75.2,89,29.79,1.5,NNW,10.4,19.6,N/A,Rain,Rain,340,2012-01-02 05:35:00
NSTU,1/1/2012,6:55 PM,79.2,75.9,90,29.80,1.2,North,18.4,31.1,N/A,Rain,Light Rain,350,2012-01-02 05:55:00
NSTU,1/1/2012,7:15 PM,-9999,-9999,N/A,29.80,5.0,North,8.1,-,N/A,Rain,Light Rain,10,2012-01-02 06:15:00
NSTU,1/1/2012,7:35 PM,-9999,-9999,N/A,29.81,10.0,NNE,3.5,-,N/A,Rain,Light Rain,20,2012-01-02 06:35:00
NSTU,1/1/2012,7:55 PM,-9999,-9999,N/A,29.83,8.0,WNW,12.7,18.4,N/A,Rain,Light Rain,290,2012-01-02 06:55:00
NSTU,1/1/2012,8:15 PM,-9999,-9999,N/A,29.83,1.5,NNW,5.8,-,N/A,Rain,Rain,330,2012-01-02 07:15:00
NSTU,1/1/2012,8:35 PM,-9999,-9999,N/A,29.83,3.0,South,5.8,-,N/A,Rain,Light Rain,190,2012-01-02 07:35:00
NSTU,1/1/2012,8:55 PM,-9999,-9999,N/A,29.84,3.0,WNW,5.8,-,N/A,Rain,Light Rain,290,2012-01-02 07:55:00
NSTU,1/1/2012,9:15 PM,-9999,-9999,N/A,29.84,4.0,SSE,4.6,-,N/A,Rain,Light Rain,160,2012-01-02 08:15:00
NSTU,1/1/2012,9:35 PM,-9999,-9999,N/A,29.85,3.0,SSW,5.8,-,N/A,Rain,Light Rain,200,2012-01-02 08:35:00
NSTU,1/1/2012,9:55 PM,-9999,-9999,N/A,29.85,1.8,SW,4.6,-,N/A,Rain,Light Rain,220,2012-01-02 08:55:00
NSTU,1/1/2012,10:15 PM,-9999,-9999,N/A,29.86,4.0,Calm,Calm,-,N/A,Rain,Light Rain,0,2012-01-02 09:15:00
NSTU,1/1/2012,10:35 PM,-9999,-9999,N/A,29.86,0.8,ESE,3.5,-,N/A,Rain,Heavy Rain,110,2012-01-02 09:35:00
NSTU,1/1/2012,10:55 PM,-9999,-9999,N/A,29.86,0.8,NNW,11.5,18.4,N/A,Rain,Rain,340,2012-01-02 09:55:00
NSTU,1/1/2012,11:15 PM,-9999,-9999,N/A,29.85,2.5,North,5.8,-,N/A,Rain,Light Rain,10,2012-01-02 10:15:00
NSTU,1/1/2012,11:35 PM,-9999,-9999,N/A,29.85,3.0,North,8.1,-,N/A,Rain,Light Rain,350,2012-01-02 10:35:00
NSTU,1/1/2012,11:55 PM,-9999,-9999,N/A,29.84,9.0,West,5.8,-,N/A,Rain,Light Rain,260,2012-01-02 10:55:00
NSTU,1/2/2012,12:15 AM,-9999,-9999,N/A,29.83,10.0,SSW,4.6,-,N/A,Rain,Light Rain,200,2012-01-02 11:15:00
NSTU,1/2/2012,12:35 AM,-9999,-9999,N/A,29.82,9.0,NNE,6.9,-,N/A,Rain,Light Rain,20,2012-01-02 11:35:00
NSTU,1/2/2012,12:55 AM,-9999,-9999,N/A,29.82,10.0,North,4.6,-,N/A,,Overcast,360,2012-01-02 11:55:00
NSTU,1/2/2012,1:15 AM,-9999,-9999,N/A,29.82,10.0,NNW,3.5,-,N/A,,Overcast,340,2012-01-02 12:15:00
NSTU,1/2/2012,1:35 AM,-9999,-9999,N/A,29.81,10.0,North,5.8,-,N/A,,Overcast,350,2012-01-02 12:35:00
NSTU,1/2/2012,1:55 AM,80.2,75.4,85,29.82,3.0,NNW,11.5,21.9,N/A,,Haze,340,2012-01-02 12:55:00
NSTU,1/2/2012,2:15 AM,-9999,-9999,N/A,29.81,6.0,NNW,5.8,-,N/A,Rain,Light Rain,340,2012-01-02 13:15:00
NSTU,1/2/2012,2:35 AM,-9999,-9999,N/A,29.81,10.0,NNW,6.9,-,N/A,Rain,Light Rain,330,2012-01-02 13:35:00
NSTU,1/2/2012,2:55 AM,-9999,-9999,N/A,29.80,10.0,North,4.6,-,N/A,Rain,Light Rain,10,2012-01-02 13:55:00
NSTU,1/2/2012,3:15 AM,-9999,-9999,N/A,29.80,10.0,NNE,8.1,-,N/A,Rain,Light Rain,20,2012-01-02 14:15:00
NSTU,1/2/2012,3:35 AM,80.6,75.2,84,29.81,9.0,NNW,11.5,24.2,N/A,Rain,Light Rain,330,2012-01-02 14:35:00
NSTU,1/2/2012,3:55 AM,-9999,-9999,N/A,29.81,8.0,NW,9.2,20.7,N/A,Rain,Light Rain,320,2012-01-02 14:55:00
NSTU,1/2/2012,4:15 AM,-9999,-9999,N/A,29.81,10.0,NNW,6.9,-,N/A,Rain,Light Rain,330,2012-01-02 15:15:00
NSTU,1/2/2012,4:35 AM,-9999,-9999,N/A,29.81,10.0,NW,10.4,16.1,N/A,Rain,Light Rain,320,2012-01-02 15:35:00
NSTU,1/2/2012,4:55 AM,81.9,75.0,80,29.82,7.0,NW,12.7,21.9,N/A,,Overcast,310,2012-01-02 15:55:00
NSTU,1/2/2012,5:15 AM,78.8,73.4,83,29.83,10.0,NNW,11.5,-,N/A,,Mostly Cloudy,330,2012-01-02 16:15:00
NSTU,1/2/2012,5:35 AM,-9999,-9999,N/A,29.83,4.0,North,8.1,16.1,N/A,Rain,Light Rain,350,2012-01-02 16:35:00
NSTU,1/2/2012,5:55 AM,-9999,-9999,N/A,29.84,3.0,NNW,8.1,-,N/A,Rain,Light Rain,330,2012-01-02 16:55:00
NSTU,1/2/2012,6:15 AM,-9999,-9999,N/A,29.85,10.0,North,6.9,-,N/A,Rain,Light Rain,360,2012-01-02 17:15:00
NSTU,1/2/2012,6:35 AM,-9999,-9999,N/A,29.85,10.0,NW,8.1,-,N/A,Rain,Light Rain,310,2012-01-02 17:35:00
NSTU,1/2/2012,6:55 AM,-9999,-9999,N/A,29.87,10.0,North,10.4,-,N/A,Rain,Light Rain,360,2012-01-02 17:55:00
NSTU,1/2/2012,7:15 AM,80.2,74.8,84,29.88,10.0,North,8.1,17.3,N/A,Rain,Light Rain,350,2012-01-02 18:15:00
NSTU,1/2/2012,7:35 AM,80.6,75.2,84,29.88,10.0,North,13.8,18.4,N/A,Rain,Light Rain,350,2012-01-02 18:35:00
NSTU,1/2/2012,7:55 AM,-9999,-9999,N/A,29.88,8.0,North,12.7,20.7,N/A,Rain,Light Rain,350,2012-01-02 18:55:00
NSTU,1/2/2012,8:15 AM,-9999,-9999,N/A,29.89,10.0,NNW,5.8,-,N/A,Rain,Light Rain,340,2012-01-02 19:15:00
NSTU,1/2/2012,8:35 AM,80.6,73.4,79,29.89,10.0,NNW,11.5,18.4,N/A,Rain,Light Rain,340,2012-01-02 19:35:00
NSTU,1/2/2012,8:55 AM,80.6,75.2,84,29.88,10.0,North,16.1,25.3,N/A,Rain,Light Rain,360,2012-01-02 19:55:00
NSTU,1/2/2012,9:15 AM,-9999,-9999,N/A,29.88,10.0,North,8.1,17.3,N/A,Rain,Light Rain,350,2012-01-02 20:15:00
NSTU,1/2/2012,9:35 AM,-9999,-9999,N/A,29.88,10.0,North,5.8,-,N/A,Rain,Light Rain,350,2012-01-02 20:35:00
NSTU,1/2/2012,9:55 AM,-9999,-9999,N/A,29.88,10.0,NNE,3.5,-,N/A,Rain,Light Rain,30,2012-01-02 20:55:00
NSTU,1/2/2012,10:15 AM,-9999,-9999,N/A,29.88,10.0,North,9.2,-,N/A,Rain,Light Rain,350,2012-01-02 21:15:00
NSTU,1/2/2012,10:35 AM,-9999,-9999,N/A,29.88,9.0,NNE,12.7,19.6,N/A,Rain,Light Rain,30,2012-01-02 21:35:00
NSTU,1/2/2012,10:55 AM,-9999,-9999,N/A,29.88,10.0,North,5.8,16.1,N/A,Rain,Light Rain,360,2012-01-02 21:55:00
NSTU,1/2/2012,11:15 AM,-9999,-9999,N/A,29.87,10.0,North,5.8,-,N/A,Rain,Light Rain,350,2012-01-02 22:15:00
NSTU,1/2/2012,11:35 AM,-9999,-9999,N/A,29.87,1.0,ENE,5.8,-,N/A,Rain,Light Rain,70,2012-01-02 22:35:00
NSTU,1/2/2012,11:55 AM,80.6,75.2,84,29.87,10.0,North,15.0,21.9,N/A,Rain,Light Rain,10,2012-01-02 22:55:00
NSTU,1/2/2012,12:15 PM,80.6,75.2,84,29.86,10.0,North,13.8,20.7,N/A,Rain,Light Rain,10,2012-01-02 23:15:00
NSTU,1/2/2012,12:35 PM,80.6,75.2,84,29.86,5.0,North,9.2,19.6,N/A,Rain,Light Rain,360,2012-01-02 23:35:00
NSTU,1/2/2012,12:55 PM,81.9,74.7,79,29.86,10.0,North,9.2,18.4,N/A,Rain,Light Rain,10,2012-01-02 23:55:00
NSTU,1/2/2012,1:15 PM,82.4,75.2,79,29.85,10.0,North,9.2,17.3,N/A,,Mostly Cloudy,10,2012-01-03 00:15:00
NSTU,1/2/2012,1:35 PM,-9999,-9999,N/A,29.84,10.0,North,8.1,-,N/A,,Mostly Cloudy,10,2012-01-03 00:35:00
NSTU,1/2/2012,1:55 PM,84.2,74.7,73,29.85,10.0,NNE,9.2,23.0,N/A,,Mostly Cloudy,30,2012-01-03 00:55:00
NSTU,1/2/2012,2:15 PM,84.2,73.4,70,29.85,10.0,North,11.5,19.6,N/A,,Mostly Cloudy,360,2012-01-03 01:15:00
NSTU,1/2/2012,2:35 PM,-9999,-9999,N/A,29.84,10.0,North,6.9,-,N/A,,Overcast,10,2012-01-03 01:35:00
NSTU,1/2/2012,2:55 PM,84.2,75.2,74,29.84,10.0,NW,8.1,20.7,N/A,,Mostly Cloudy,320,2012-01-03 01:55:00
NSTU,1/2/2012,3:15 PM,84.2,73.4,70,29.84,10.0,NW,15.0,19.6,N/A,,Mostly Cloudy,320,2012-01-03 02:15:00
NSTU,1/2/2012,3:35 PM,84.2,73.4,70,29.84,10.0,North,4.6,19.6,N/A,,Mostly Cloudy,350,2012-01-03 02:35:00
NSTU,1/2/2012,3:55 PM,-9999,-9999,N/A,29.83,10.0,NNW,6.9,-,N/A,,Mostly Cloudy,340,2012-01-03 02:55:00
NSTU,1/2/2012,4:15 PM,-9999,-9999,N/A,29.83,10.0,NNW,8.1,-,N/A,,Mostly Cloudy,340,2012-01-03 03:15:00
NSTU,1/2/2012,4:35 PM,82.4,73.4,74,29.83,10.0,North,8.1,20.7,N/A,,Mostly Cloudy,350,2012-01-03 03:35:00
NSTU,1/2/2012,4:55 PM,-9999,-9999,N/A,29.83,10.0,NNW,6.9,-,N/A,,Overcast,340,2012-01-03 03:55:00
NSTU,1/2/2012,5:15 PM,-9999,-9999,N/A,29.84,10.0,NNE,5.8,-,N/A,,Overcast,20,2012-01-03 04:15:00
NSTU,1/2/2012,5:35 PM,82.4,73.4,74,29.85,4.0,North,8.1,18.4,N/A,,Mostly Cloudy,10,2012-01-03 04:35:00
NSTU,1/2/2012,5:55 PM,-9999,-9999,N/A,29.85,10.0,North,9.2,-,N/A,,Mostly Cloudy,10,2012-01-03 04:55:00
NSTU,1/2/2012,6:15 PM,80.6,73.4,79,29.86,10.0,North,9.2,-,N/A,,Partly Cloudy,10,2012-01-03 05:15:00
NSTU,1/2/2012,6:35 PM,-9999,-9999,N/A,29.86,10.0,North,6.9,-,N/A,,Clear,360,2012-01-03 05:35:00
NSTU,1/2/2012,6:55 PM,-9999,-9999,N/A,29.87,10.0,NNE,6.9,-,N/A,,Scattered Clouds,20,2012-01-03 05:55:00
NSTU,1/2/2012,7:15 PM,-9999,-9999,N/A,29.88,10.0,NNE,10.4,16.1,N/A,,Mostly Cloudy,30,2012-01-03 06:15:00
NSTU,1/2/2012,7:35 PM,-9999,-9999,N/A,29.88,10.0,NE,3.5,-,N/A,,Overcast,50,2012-01-03 06:35:00
NSTU,1/2/2012,7:55 PM,-9999,-9999,N/A,29.88,10.0,NNE,9.2,19.6,N/A,,Overcast,30,2012-01-03 06:55:00
NSTU,1/2/2012,8:15 PM,-9999,-9999,N/A,29.89,10.0,NE,11.5,17.3,N/A,,Overcast,40,2012-01-03 07:15:00
NSTU,1/2/2012,8:35 PM,-9999,-9999,N/A,29.90,10.0,NNE,11.5,18.4,N/A,,Overcast,30,2012-01-03 07:35:00
NSTU,1/2/2012,8:55 PM,-9999,-9999,N/A,29.90,10.0,NNE,10.4,-,N/A,,Overcast,30,2012-01-03 07:55:00
NSTU,1/2/2012,9:15 PM,-9999,-9999,N/A,29.90,10.0,NE,8.1,-,N/A,,Mostly Cloudy,40,2012-01-03 08:15:00
NSTU,1/2/2012,9:35 PM,82.4,73.8,75,29.91,10.0,NNE,11.5,18.4,N/A,,Mostly Cloudy,30,2012-01-03 08:35:00
NSTU,1/2/2012,9:55 PM,-9999,-9999,N/A,29.91,10.0,NE,4.6,-,N/A,,Overcast,40,2012-01-03 08:55:00
NSTU,1/2/2012,10:15 PM,-9999,-9999,N/A,29.92,10.0,NNE,8.1,-,N/A,,Overcast,30,2012-01-03 09:15:00
NSTU,1/2/2012,10:35 PM,-9999,-9999,N/A,29.92,10.0,NE,8.1,16.1,N/A,,Mostly Cloudy,40,2012-01-03 09:35:00
NSTU,1/2/2012,10:55 PM,82.4,74.1,76,29.92,10.0,North,8.1,16.1,N/A,,Overcast,10,2012-01-03 09:55:00
NSTU,1/2/2012,11:15 PM,82.4,74.1,76,29.92,10.0,NNE,11.5,17.3,N/A,,Mostly Cloudy,20,2012-01-03 10:15:00
NSTU,1/2/2012,11:35 PM,-9999,-9999,N/A,29.91,10.0,North,6.9,-,N/A,,Overcast,10,2012-01-03 10:35:00
NSTU,1/2/2012,11:55 PM,-9999,-9999,N/A,29.90,10.0,North,5.8,-,N/A,,Mostly Cloudy,10,2012-01-03 10:55:00
NSTU,1/3/2012,12:15 AM,80.6,73.4,79,29.90,8.0,NNE,8.1,16.1,N/A,,Overcast,30,2012-01-03 11:15:00
NSTU,1/3/2012,12:35 AM,-9999,-9999,N/A,29.88,10.0,NNE,11.5,16.1,N/A,,Overcast,20,2012-01-03 11:35:00
NSTU,1/3/2012,12:55 AM,80.6,73.4,79,29.88,10.0,NE,8.1,18.4,N/A,,Overcast,40,2012-01-03 11:55:00
NSTU,1/3/2012,1:15 AM,-9999,-9999,N/A,29.87,10.0,North,8.1,18.4,N/A,,Overcast,360,2012-01-03 12:15:00
NSTU,1/3/2012,1:35 AM,-9999,-9999,N/A,29.87,10.0,NNE,13.8,18.4,N/A,,Overcast,30,2012-01-03 12:35:00
NSTU,1/3/2012,1:55 AM,80.6,73.4,79,29.87,10.0,NE,6.9,-,N/A,,Overcast,50,2012-01-03 12:55:00
NSTU,1/3/2012,2:15 AM,-9999,-9999,N/A,29.85,10.0,ENE,9.2,-,N/A,,Overcast,60,2012-01-03 13:15:00
NSTU,1/3/2012,2:35 AM,78.8,73.4,83,29.86,10.0,ENE,8.1,-,N/A,,Overcast,60,2012-01-03 13:35:00
NSTU,1/3/2012,2:55 AM,-9999,-9999,N/A,29.86,10.0,NNE,4.6,-,N/A,,Overcast,20,2012-01-03 13:55:00
NSTU,1/3/2012,3:15 AM,80.6,73.4,79,29.86,10.0,NNE,9.2,16.1,N/A,,Overcast,30,2012-01-03 14:15:00
NSTU,1/3/2012,3:35 AM,80.6,73.4,79,29.85,10.0,North,11.5,17.3,N/A,,Mostly Cloudy,10,2012-01-03 14:35:00
NSTU,1/3/2012,3:55 AM,-9999,-9999,N/A,29.85,5.0,NW,8.1,-,N/A,,Mostly Cloudy,320,2012-01-03 14:55:00
NSTU,1/3/2012,4:15 AM,80.6,73.4,79,29.86,10.0,North,18.4,25.3,N/A,,Mostly Cloudy,350,2012-01-03 15:15:00
NSTU,1/3/2012,4:35 AM,77.0,71.6,83,29.86,3.0,NNE,9.2,17.3,N/A,,Overcast,20,2012-01-03 15:35:00
NSTU,1/3/2012,4:55 AM,-9999,-9999,N/A,29.86,10.0,NE,8.1,-,N/A,,Overcast,40,2012-01-03 15:55:00
NSTU,1/3/2012,5:15 AM,-9999,-9999,N/A,29.88,10.0,NE,4.6,-,N/A,,Overcast,40,2012-01-03 16:15:00
NSTU,1/3/2012,5:35 AM,-9999,-9999,N/A,29.88,10.0,Calm,Calm,-,N/A,,Overcast,0,2012-01-03 16:35:00
NSTU,1/3/2012,5:55 AM,-9999,-9999,N/A,29.89,10.0,West,4.6,-,N/A,,Overcast,280,2012-01-03 16:55:00
NSTU,1/3/2012,6:15 AM,-9999,-9999,N/A,29.90,10.0,West,3.5,-,N/A,,Mostly Cloudy,260,2012-01-03 17:15:00
NSTU,1/3/2012,6:35 AM,-9999,-9999,N/A,29.91,10.0,Calm,Calm,-,N/A,,Overcast,0,2012-01-03 17:35:00
NSTU,1/3/2012,6:55 AM,-9999,-9999,N/A,29.91,10.0,ENE,3.5,-,N/A,,Mostly Cloudy,60,2012-01-03 17:55:00
NSTU,1/3/2012,7:15 AM,-9999,-9999,N/A,29.91,10.0,NE,4.6,-,N/A,,Partly Cloudy,50,2012-01-03 18:15:00
NSTU,1/3/2012,7:35 AM,-9999,-9999,N/A,29.91,10.0,North,9.2,18.4,N/A,,Scattered Clouds,10,2012-01-03 18:35:00
NSTU,1/3/2012,7:55 AM,82.8,74.5,76,29.91,10.0,NNE,9.2,-,N/A,,Mostly Cloudy,20,2012-01-03 18:55:00
NSTU,1/3/2012,8:15 AM,-9999,-9999,N/A,29.92,10.0,NNE,8.1,19.6,N/A,,Mostly Cloudy,20,2012-01-03 19:15:00
NSTU,1/3/2012,8:35 AM,-9999,-9999,N/A,29.92,10.0,NE,9.2,-,N/A,,Mostly Cloudy,40,2012-01-03 19:35:00
NSTU,1/3/2012,8:55 AM,84.2,75.2,74,29.93,10.0,North,10.4,19.6,N/A,,Mostly Cloudy,10,2012-01-03 19:55:00
NSTU,1/3/2012,9:15 AM,84.2,75.2,74,29.93,10.0,North,8.1,19.6,N/A,,Mostly Cloudy,10,2012-01-03 20:15:00
NSTU,1/3/2012,9:35 AM,84.2,75.2,74,29.93,10.0,North,15.0,19.6,N/A,,Mostly Cloudy,10,2012-01-03 20:35:00
NSTU,1/3/2012,9:55 AM,84.2,73.4,70,29.93,10.0,NNE,12.7,18.4,N/A,,Overcast,30,2012-01-03 20:55:00
NSTU,1/3/2012,10:15 AM,-9999,-9999,N/A,29.92,10.0,NNE,6.9,-,N/A,,Mostly Cloudy,20,2012-01-03 21:15:00
NSTU,1/3/2012,10:35 AM,84.2,75.2,74,29.92,10.0,North,15.0,21.9,N/A,,Partly Cloudy,10,2012-01-03 21:35:00
NSTU,1/3/2012,10:55 AM,86.0,75.2,70,29.92,10.0,NNE,10.4,17.3,N/A,,Scattered Clouds,20,2012-01-03 21:55:00
NSTU,1/3/2012,11:15 AM,84.2,73.4,70,29.91,10.0,North,10.4,17.3,N/A,,Mostly Cloudy,10,2012-01-03 22:15:00
NSTU,1/3/2012,11:35 AM,84.2,75.2,74,29.91,10.0,North,9.2,-,N/A,,Scattered Clouds,10,2012-01-03 22:35:00
NSTU,1/3/2012,11:55 AM,-9999,-9999,N/A,29.90,5.0,North,8.1,-,N/A,,Mostly Cloudy,360,2012-01-03 22:55:00
NSTU,1/3/2012,12:15 PM,84.2,75.2,74,29.90,10.0,North,11.5,-,N/A,,Scattered Clouds,10,2012-01-03 23:15:00
