,TimeSST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
2014-01-24 23:04:00,11:04 PM,80.6,77.0,89,29.80,10.0,SE,11.5,-,N/A,Rain-Thunderstorm,Light Rain Showers,130,2014-01-25 10:04:00<br />
2013-08-24 07:00:00,7:00 AM,80,75,79,29.88,12,East,10.4,,,,Scattered Clouds,100,2013-08-24 18:00:00<br />
2014-01-12 18:51:00,6:51 PM,81.5,73.9,78,29.80,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-01-13 05:51:00<br />
2013-09-17 02:52:00,2:52 AM,80.2,75.6,86,29.83,5.0,ESE,17.3,29.9,N/A,Rain,Light Rain Showers,120,2013-09-17 13:52:00<br />
2013-11-11 08:53:00,8:53 AM,84.4,76.5,77,29.82,12.0,East,10.4,-,N/A,,Overcast,100,2013-11-11 19:53:00<br />
2013-09-18 14:53:00,2:53 PM,82.8,73.4,73,29.85,12.0,ESE,19.6,-,N/A,,Overcast,120,2013-09-19 01:53:00<br />
2014-03-11 00:50:00,12:50 AM,82.8,76.5,81,29.68,7.0,SE,6.9,-,N/A,Rain,Light Rain Showers,140,2014-03-11 11:50:00<br />
2013-09-29 01:53:00,1:53 AM,78.3,73.6,85,29.87,10.0,Variable,2.3,-,N/A,,Overcast,0,2013-09-29 12:53:00<br />
2014-01-24 00:50:00,12:50 AM,82.0,76.6,84,29.76,10.0,East,9.2,-,N/A,,Scattered Clouds,100,2014-01-24 11:50:00<br />
2013-12-10 23:55:00,11:55 PM,77.4,74.7,91,29.80,8.0,NW,9.2,-,N/A,Rain,Heavy Rain Showers,320,2013-12-11 10:55:00<br />
2013-09-15 11:51:00,11:51 AM,84.6,76.1,76,29.86,12.0,ESE,13.8,-,N/A,,Overcast,120,2013-09-15 22:51:00<br />
2013-12-14 07:00:00,7:00 AM,83,77,76,29.79,12,SE,10.4,,,,Partly Cloudy,130,2013-12-14 18:00:00<br />
2013-09-12 15:50:00,3:50 PM,84.0,75.6,76,29.90,10.0,East,23.0,-,N/A,,Mostly Cloudy,100,2013-09-13 02:50:00<br />
2013-12-20 13:54:00,1:54 PM,87.6,75.6,67,29.73,12.0,North,13.8,-,N/A,,Mostly Cloudy,360,2013-12-21 00:54:00<br />
2013-11-05 13:53:00,1:53 PM,86.4,74.7,68,29.85,12.0,East,11.5,-,N/A,,Mostly Cloudy,100,2013-11-06 00:53:00<br />
2014-01-08 09:50:00,9:50 AM,78.6,74.8,88,29.72,11.0,NW,11.5,-,N/A,Rain,Light Rain Showers,320,2014-01-08 20:50:00<br />
2013-09-13 21:52:00,9:52 PM,80.2,74.7,83,29.88,10.0,East,17.3,-,N/A,,Overcast,90,2013-09-14 08:52:00<br />
2013-11-18 03:55:00,3:55 AM,78.6,75.9,91,29.78,7.0,Calm,Calm,-,N/A,Rain,Light Rain Showers,0,2013-11-18 14:55:00<br />
2013-10-08 07:51:00,7:51 AM,83.7,78.1,83,29.89,12.0,ENE,8.1,-,N/A,,Scattered Clouds,70,2013-10-08 18:51:00<br />
2014-01-09 21:52:00,9:52 PM,81.0,73.4,78,29.74,10.0,North,17.3,-,N/A,,Overcast,10,2014-01-10 08:52:00<br />
2013-09-05 14:54:00,2:54 PM,86.0,73.6,66,29.90,12.0,SSE,8.1,-,N/A,,Scattered Clouds,150,2013-09-06 01:54:00<br />
2013-12-01 00:53:00,12:53 AM,80.8,77.2,89,29.85,10.0,East,15.0,-,N/A,,Mostly Cloudy,80,2013-12-01 11:53:00<br />
2014-02-05 09:50:00,9:50 AM,86.5,75.4,69,29.73,12.0,ESE,6.9,-,N/A,,Clear,110,2014-02-05 20:50:00<br />
2013-11-12 13:00:00,1:00 PM,86,77,67,29.77,12,ENE,13.8,,,,Overcast,70,2013-11-13 00:00:00<br />
2014-01-06 23:59:00,11:59 PM,80.1,75.2,85,29.69,8.0,NNW,12.7,-,N/A,Rain,Light Rain Showers,340,2014-01-07 10:59:00<br />
2013-08-02 01:00:00,1:00 AM,75,74,94,29.85,10,NW,4.6,,,,Scattered Clouds,310,2013-08-02 12:00:00<br />
2014-03-04 19:55:00,7:55 PM,83.7,77.2,81,29.81,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-03-05 06:55:00<br />
2013-11-25 19:00:00,7:00 PM,82,76,76,29.79,10,East,10.4,,,,Partly Cloudy,90,2013-11-26 06:00:00<br />
2014-02-24 00:53:00,12:53 AM,83.1,76.1,79,29.74,10.0,West,4.6,-,N/A,,Mostly Cloudy,270,2014-02-24 11:53:00<br />
2014-02-12 07:00:00,7:00 AM,80,76,84,29.77,12,SE,3.5,,,,Partly Cloudy,140,2014-02-12 18:00:00<br />
2014-01-09 06:55:00,6:55 AM,81.3,75.4,82,29.73,10.0,North,17.3,32.2,N/A,Rain,Light Rain Showers,10,2014-01-09 17:55:00<br />
2014-01-11 07:52:00,7:52 AM,83.7,75.7,77,29.74,12.0,North,6.9,-,N/A,,Mostly Cloudy,360,2014-01-11 18:52:00<br />
2013-09-30 19:56:00,7:56 PM,78.6,76.1,92,29.90,10.0,Calm,Calm,-,N/A,,Overcast,0,2013-10-01 06:56:00<br />
2013-08-09 06:50:00,6:50 AM,79.3,73.0,81,29.88,12.0,East,15.0,-,N/A,,Scattered Clouds,90,2013-08-09 17:50:00<br />
2013-10-15 01:50:00,1:50 AM,80.4,74.3,82,29.89,10.0,ESE,15.0,-,N/A,,Overcast,120,2013-10-15 12:50:00<br />
2014-03-07 13:53:00,1:53 PM,80.6,75.2,84,29.75,12.0,NW,4.6,-,N/A,Rain,Light Rain Showers,320,2014-03-08 00:53:00<br />
2014-02-08 04:54:00,4:54 AM,78.1,75.4,91,29.68,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-02-08 15:54:00<br />
2013-08-26 19:53:00,7:53 PM,80.2,74.8,84,29.98,10.0,SE,11.5,-,N/A,,Mostly Cloudy,130,2013-08-27 06:53:00<br />
2013-10-16 06:52:00,6:52 AM,81.1,75.4,83,29.90,12.0,East,15.0,-,N/A,,Mostly Cloudy,90,2013-10-16 17:52:00<br />
2014-01-09 01:55:00,1:55 AM,81.3,74.8,81,29.70,10.0,NNW,9.2,19.6,N/A,,Overcast,330,2014-01-09 12:55:00<br />
2013-09-09 22:53:00,10:53 PM,80.8,75.0,83,30.00,10.0,ESE,16.1,-,N/A,,Mostly Cloudy,110,2013-09-10 09:53:00<br />
2013-08-20 13:54:00,1:54 PM,86.5,74.8,68,29.84,12.0,NNE,8.1,-,N/A,,Mostly Cloudy,20,2013-08-21 00:54:00<br />
2013-12-26 23:53:00,11:53 PM,79.5,76.3,90,29.75,10.0,NNW,3.5,-,N/A,,Mostly Cloudy,340,2013-12-27 10:53:00<br />
2013-11-28 19:54:00,7:54 PM,81.5,76.1,84,29.86,10.0,ESE,9.2,-,N/A,,Mostly Cloudy,110,2013-11-29 06:54:00<br />
2014-01-12 01:00:00,1:00 AM,81,74,75,29.77,10,,3.5,,,,Partly Cloudy,,2014-01-12 12:00:00<br />
2013-08-12 08:55:00,8:55 AM,80.6,74.3,81,29.93,12.0,East,12.7,-,N/A,,Mostly Cloudy,90,2013-08-12 19:55:00<br />
2013-09-21 07:00:00,7:00 AM,80,76,83,29.89,12,ESE,19.6,,,Rain,Light Rain Showers,110,2013-09-21 18:00:00<br />
2014-02-06 13:00:00,1:00 PM,86,77,68,29.72,12,East,8.1,,,,Partly Cloudy,90,2014-02-07 00:00:00<br />
2014-01-31 07:00:00,7:00 AM,79,73,78,29.80,10,NW,8.1,,,,Partly Cloudy,310,2014-01-31 18:00:00<br />
2013-09-27 05:54:00,5:54 AM,78.8,70.7,76,29.82,12.0,ESE,15.0,-,N/A,,Scattered Clouds,110,2013-09-27 16:54:00<br />
2013-09-16 00:53:00,12:53 AM,80.4,75.9,86,29.85,10.0,East,18.4,-,N/A,,Overcast,100,2013-09-16 11:53:00<br />
2013-11-19 17:50:00,5:50 PM,82.2,73.4,75,29.76,12.0,ESE,10.4,-,N/A,,Mostly Cloudy,110,2013-11-20 04:50:00<br />
2013-12-10 06:42:00,6:42 AM,78.8,71.6,78,29.81,12.0,North,9.2,-,N/A,,Overcast,360,2013-12-10 17:42:00<br />
2014-02-21 02:50:00,2:50 AM,78.6,76.1,92,29.68,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-02-21 13:50:00<br />
2013-09-07 05:55:00,5:55 AM,79.0,74.8,87,29.96,10.0,South,15.0,-,N/A,,Mostly Cloudy,180,2013-09-07 16:55:00<br />
2013-08-10 05:02:00,5:02 AM,77.0,77.0,100,29.86,-9999.0,NNE,8.1,-,N/A,Rain,Heavy Rain Showers,20,2013-08-10 16:02:00<br />
2013-11-10 19:52:00,7:52 PM,78.3,73.6,85,29.84,10.0,SE,11.5,-,N/A,,Overcast,140,2013-11-11 06:52:00<br />
2013-11-03 16:50:00,4:50 PM,83.7,72.0,68,29.83,12.0,ESE,12.7,-,N/A,,Scattered Clouds,120,2013-11-04 03:50:00<br />
2013-08-25 13:00:00,1:00 PM,87,78,67,29.90,12,East,12.7,,,,Partly Cloudy,80,2013-08-26 00:00:00<br />
2014-02-10 10:58:00,10:58 AM,87.3,76.6,71,29.73,12.0,NE,6.9,-,N/A,,Scattered Clouds,40,2014-02-10 21:58:00<br />
2014-02-10 05:53:00,5:53 AM,82.8,75.7,79,29.71,10.0,NNW,10.4,-,N/A,,Mostly Cloudy,340,2014-02-10 16:53:00<br />
2014-01-09 13:53:00,1:53 PM,83.5,76.1,78,29.70,12.0,North,11.5,-,N/A,,Overcast,10,2014-01-10 00:53:00<br />
2013-09-02 19:53:00,7:53 PM,79.7,75.2,86,29.86,10.0,ESE,9.2,-,N/A,,Overcast,110,2013-09-03 06:53:00<br />
2013-08-01 02:58:00,2:58 AM,79.5,76.1,89,29.85,10.0,East,15.0,-,N/A,Rain,Light Rain Showers,100,2013-08-01 13:58:00<br />
2014-03-05 20:50:00,8:50 PM,83.7,76.8,80,29.79,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-03-06 07:50:00<br />
2013-09-04 13:50:00,1:50 PM,86.0,74.1,68,29.82,12.0,North,6.9,-,N/A,,Mostly Cloudy,360,2013-09-05 00:50:00<br />
2013-11-29 23:51:00,11:51 PM,81.0,76.5,86,29.88,10.0,East,13.8,-,N/A,,Mostly Cloudy,90,2013-11-30 10:51:00<br />
2013-12-12 14:58:00,2:58 PM,87.4,75.4,67,29.72,12.0,North,8.1,-,N/A,,Mostly Cloudy,10,2013-12-13 01:58:00<br />
2013-11-29 01:00:00,1:00 AM,82,76,76,29.87,10,ESE,13.8,,,,Scattered Clouds,110,2013-11-29 12:00:00<br />
2013-10-11 08:54:00,8:54 AM,82.6,73.9,75,29.95,12.0,ESE,16.1,-,N/A,,Overcast,110,2013-10-11 19:54:00<br />
2014-01-01 19:57:00,7:57 PM,80.6,75.6,85,29.76,7.0,NE,11.5,-,N/A,Rain,Light Rain Showers,50,2014-01-02 06:57:00<br />
2013-10-08 05:50:00,5:50 AM,76.1,74.1,94,29.85,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2013-10-08 16:50:00<br />
2013-09-27 09:54:00,9:54 AM,85.8,73.9,67,29.86,12.0,East,16.1,-,N/A,,Mostly Cloudy,90,2013-09-27 20:54:00<br />
2014-03-07 02:56:00,2:56 AM,76.5,74.7,94,29.77,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2014-03-07 13:56:00<br />
2013-10-15 13:50:00,1:50 PM,80.1,77.5,92,29.87,7.0,SE,6.9,-,N/A,Rain,Light Rain Showers,130,2013-10-16 00:50:00<br />
2013-11-07 01:00:00,1:00 AM,81,72,66,29.86,10,ESE,15.0,,,,Scattered Clouds,110,2013-11-07 12:00:00<br />
2014-03-06 01:52:00,1:52 AM,79.9,77.0,91,29.78,10.0,WNW,4.6,-,N/A,,Mostly Cloudy,300,2014-03-06 12:52:00<br />
2013-11-17 19:52:00,7:52 PM,80.6,75.2,84,29.82,10.0,ENE,8.1,-,N/A,,Overcast,70,2013-11-18 06:52:00<br />
2013-12-17 05:52:00,5:52 AM,81.3,75.6,83,29.84,12.0,East,13.8,-,N/A,,Scattered Clouds,90,2013-12-17 16:52:00<br />
2014-02-13 20:56:00,8:56 PM,82.8,76.1,80,29.75,10.0,NW,3.5,-,N/A,,Mostly Cloudy,310,2014-02-14 07:56:00<br />
2013-11-06 05:50:00,5:50 AM,79.2,70.2,74,29.86,10.0,ESE,15.0,-,N/A,,Mostly Cloudy,110,2013-11-06 16:50:00<br />
2013-09-12 23:50:00,11:50 PM,79.5,74.5,84,29.92,10.0,East,23.0,-,N/A,,Overcast,90,2013-09-13 10:50:00<br />
2014-01-03 13:00:00,1:00 PM,87,76,63,29.72,11,NNE,9.2,,,,Partly Cloudy,30,2014-01-04 00:00:00<br />
2013-11-08 21:50:00,9:50 PM,81.3,76.3,85,29.83,10.0,Variable,2.3,-,N/A,,Mostly Cloudy,0,2013-11-09 08:50:00<br />
2013-11-11 16:54:00,4:54 PM,83.7,76.6,79,29.75,12.0,East,10.4,-,N/A,,Overcast,90,2013-11-12 03:54:00<br />
2013-10-31 23:52:00,11:52 PM,80.8,73.6,79,29.92,10.0,East,17.3,-,N/A,,Overcast,90,2013-11-01 10:52:00<br />
2013-08-20 10:53:00,10:53 AM,83.5,75.0,76,29.90,12.0,East,3.5,-,N/A,,Mostly Cloudy,100,2013-08-20 21:53:00<br />
2013-08-25 20:52:00,8:52 PM,79.2,75.0,87,29.95,10.0,Variable,5.8,-,N/A,,Mostly Cloudy,0,2013-08-26 07:52:00<br />
2013-10-18 07:00:00,7:00 AM,80,74,76,29.91,12,ESE,17.3,,,,Partly Cloudy,120,2013-10-18 18:00:00<br />
2013-08-18 10:50:00,10:50 AM,82.6,76.3,81,29.89,12.0,East,16.1,-,N/A,Rain,Light Rain,90,2013-08-18 21:50:00<br />
2014-02-17 01:00:00,1:00 AM,84,78,79,29.77,10,ESE,8.1,,,,Partly Cloudy,120,2014-02-17 12:00:00<br />
2013-08-04 22:50:00,10:50 PM,78.3,75.9,92,29.91,5.0,SE,15.0,-,N/A,Rain,Light Rain Showers,130,2013-08-05 09:50:00<br />
2013-08-14 11:51:00,11:51 AM,83.1,73.0,71,29.86,12.0,SE,11.5,-,N/A,,Scattered Clouds,130,2013-08-14 22:51:00<br />
2014-01-05 03:51:00,3:51 AM,80.2,75.0,84,29.70,7.0,NNW,6.9,-,N/A,,Overcast,340,2014-01-05 14:51:00<br />
2013-09-28 19:00:00,7:00 PM,77,74,88,29.86,10,East,8.1,,,Rain,Light Rain,80,2013-09-29 06:00:00<br />
2014-03-06 10:53:00,10:53 AM,86.2,78.3,77,29.78,12.0,West,6.9,-,N/A,,Overcast,280,2014-03-06 21:53:00<br />
2014-02-14 17:51:00,5:51 PM,83.7,77.7,82,29.69,10.0,East,5.8,-,N/A,,Mostly Cloudy,100,2014-02-15 04:51:00<br />
2013-10-25 23:50:00,11:50 PM,79.7,70.7,74,29.91,10.0,East,18.4,-,N/A,,Scattered Clouds,100,2013-10-26 10:50:00<br />
2014-03-20 11:50:00,11:50 AM,86.5,77.0,73,29.71,12.0,ESE,6.9,-,N/A,,Mostly Cloudy,110,2014-03-20 22:50:00<br />
2013-08-22 09:57:00,9:57 AM,85.6,77.7,77,29.94,12.0,East,12.7,-,N/A,,Scattered Clouds,90,2013-08-22 20:57:00<br />
2013-11-27 14:52:00,2:52 PM,88.7,78.3,71,29.80,12.0,East,13.8,-,N/A,,Scattered Clouds,90,2013-11-28 01:52:00<br />
2014-03-20 12:51:00,12:51 PM,82.4,77.7,86,29.70,12.0,Calm,Calm,-,N/A,Rain,Light Rain Showers,0,2014-03-20 23:51:00<br />
2013-10-29 00:50:00,12:50 AM,78.1,73.6,86,29.88,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2013-10-29 11:50:00<br />
2013-11-24 18:53:00,6:53 PM,81.5,77.2,87,29.77,10.0,East,15.0,-,N/A,,Overcast,90,2013-11-25 05:53:00<br />
2013-12-09 06:28:00,6:28 AM,77.0,75.2,94,29.80,4.0,NNE,13.8,-,N/A,Rain,Light Rain Showers,30,2013-12-09 17:28:00<br />
2013-11-10 01:50:00,1:50 AM,77.4,73.9,89,29.79,10.0,NW,3.5,-,N/A,,Overcast,320,2013-11-10 12:50:00<br />
2013-09-18 23:51:00,11:51 PM,79.7,75.7,88,29.90,10.0,ESE,17.3,-,N/A,Rain,Light Rain Showers,110,2013-09-19 10:51:00<br />
2013-09-30 21:59:00,9:59 PM,77.5,75.6,94,29.90,10.0,Calm,Calm,-,N/A,,Overcast,0,2013-10-01 08:59:00<br />
2014-01-31 19:56:00,7:56 PM,81.9,75.6,81,29.76,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2014-02-01 06:56:00<br />
2013-08-06 00:50:00,12:50 AM,79.0,75.2,88,29.92,5.0,SE,20.7,-,N/A,,Overcast,130,2013-08-06 11:50:00<br />
2013-08-10 03:09:00,3:09 AM,78.8,77.0,94,29.83,6.2,East,18.4,-,N/A,Rain-Thunderstorm,Light Thunderstorms and Rain,90,2013-08-10 14:09:00<br />
2013-12-06 01:50:00,1:50 AM,80.2,75.4,85,29.78,10.0,East,13.8,-,N/A,,Mostly Cloudy,80,2013-12-06 12:50:00<br />
2013-11-25 05:50:00,5:50 AM,78.3,75.9,92,29.79,11.0,WNW,2.3,-,N/A,,Mostly Cloudy,300,2013-11-25 16:50:00<br />
2013-10-03 03:52:00,3:52 AM,75.9,74.3,95,29.79,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2013-10-03 14:52:00<br />
2013-09-15 20:58:00,8:58 PM,81.5,75.4,82,29.87,10.0,ESE,19.6,-,N/A,,Mostly Cloudy,110,2013-09-16 07:58:00<br />
2014-02-11 08:50:00,8:50 AM,86.2,78.3,77,29.82,12.0,Variable,4.6,-,N/A,,Scattered Clouds,0,2014-02-11 19:50:00<br />
2014-03-16 11:52:00,11:52 AM,86.2,76.1,72,29.67,12.0,ESE,20.7,-,N/A,,Scattered Clouds,120,2014-03-16 22:52:00<br />
2013-08-26 19:00:00,7:00 PM,80,74,79,29.96,10,SE,10.4,,,,Scattered Clouds,140,2013-08-27 06:00:00<br />
2013-10-03 06:50:00,6:50 AM,76.5,74.8,95,29.82,12.0,Variable,2.3,-,N/A,,Scattered Clouds,0,2013-10-03 17:50:00<br />
2013-11-18 08:53:00,8:53 AM,81.0,77.0,88,29.80,12.0,SE,16.1,-,N/A,Rain,Light Rain Showers,130,2013-11-18 19:53:00<br />
2014-01-02 19:00:00,7:00 PM,79,75,83,29.74,10,NE,3.5,,,Rain,Light Rain,40,2014-01-03 06:00:00<br />
2013-08-30 22:50:00,10:50 PM,82.0,73.2,75,29.88,10.0,NE,10.4,-,N/A,,Scattered Clouds,40,2013-08-31 09:50:00<br />
2013-10-04 22:50:00,10:50 PM,80.6,74.7,82,29.85,10.0,NNW,2.3,-,N/A,,Mostly Cloudy,340,2013-10-05 09:50:00<br />
2013-08-30 19:52:00,7:52 PM,82.4,74.5,77,29.87,10.0,NE,6.9,-,N/A,,Scattered Clouds,50,2013-08-31 06:52:00<br />
2013-08-12 21:50:00,9:50 PM,75.7,72.0,88,29.93,10.0,Calm,Calm,-,N/A,,Clear,0,2013-08-13 08:50:00<br />
2013-11-30 17:50:00,5:50 PM,79.2,76.6,92,29.82,10.0,ENE,13.8,-,N/A,Rain,Light Rain Showers,70,2013-12-01 04:50:00<br />
2013-12-26 09:50:00,9:50 AM,86.5,78.1,76,29.75,12.0,ESE,8.1,-,N/A,,Overcast,110,2013-12-26 20:50:00<br />
2013-10-28 15:53:00,3:53 PM,82.2,74.8,78,29.81,12.0,SE,8.1,-,N/A,,Overcast,130,2013-10-29 02:53:00<br />
2014-03-05 07:51:00,7:51 AM,82.2,77.7,86,29.82,12.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2014-03-05 18:51:00<br />
2013-11-23 23:51:00,11:51 PM,82.0,76.3,83,29.85,10.0,ESE,8.1,-,N/A,,Overcast,110,2013-11-24 10:51:00<br />
2013-12-21 16:51:00,4:51 PM,84.7,75.6,74,29.73,12.0,North,4.6,-,N/A,,Overcast,350,2013-12-22 03:51:00<br />
2013-11-27 07:00:00,7:00 AM,83,75,72,29.87,12,East,15.0,,,,Scattered Clouds,90,2013-11-27 18:00:00<br />
2013-11-05 18:55:00,6:55 PM,81.3,73.2,76,29.87,10.0,East,13.8,-,N/A,,Mostly Cloudy,100,2013-11-06 05:55:00<br />
2013-08-16 17:51:00,5:51 PM,77.4,74.8,92,29.85,8.0,ESE,17.3,-,N/A,Rain,Light Rain Showers,110,2013-08-17 04:51:00<br />
2013-11-23 15:55:00,3:55 PM,86.2,77.2,74,29.79,12.0,ESE,11.5,-,N/A,,Overcast,110,2013-11-24 02:55:00<br />
2013-09-26 04:50:00,4:50 AM,76.1,69.6,80,29.85,10.0,ESE,5.8,-,N/A,,Partly Cloudy,110,2013-09-26 15:50:00<br />
2013-10-27 19:00:00,7:00 PM,81,71,63,29.89,10,East,15.0,,,,Partly Cloudy,100,2013-10-28 06:00:00<br />
2013-10-23 08:53:00,8:53 AM,83.1,73.6,73,29.92,12.0,ESE,15.0,-,N/A,,Overcast,120,2013-10-23 19:53:00<br />
2013-12-14 12:50:00,12:50 PM,88.9,80.2,76,29.77,12.0,East,13.8,-,N/A,,Partly Cloudy,90,2013-12-14 23:50:00<br />
2013-10-19 13:00:00,1:00 PM,78,75,88,29.89,10,East,15.0,,,Rain,Light Rain Showers,90,2013-10-20 00:00:00<br />
2014-03-09 01:51:00,1:51 AM,79.5,76.3,90,29.74,10.0,WNW,3.5,-,N/A,,Mostly Cloudy,290,2014-03-09 12:51:00<br />
2013-08-14 09:50:00,9:50 AM,83.1,73.2,72,29.91,12.0,SE,10.4,-,N/A,,Mostly Cloudy,140,2013-08-14 20:50:00<br />
2013-08-15 14:54:00,2:54 PM,79.9,76.5,89,29.78,12.0,ESE,15.0,-,N/A,,Overcast,120,2013-08-16 01:54:00<br />
